Date, Close/Last, Volume, Open, High, Low
08/10/2020, $131.88, 5894354, $130.24, $132.34, $129.65
08/07/2020, $129.97, 5519487, $129.58, $130.46, $129.11
08/06/2020, $129.35, 4832140, $129.13, $130.23, $129.0299
08/05/2020, $129.81, 8503573, $130.45, $130.75, $128.83
08/04/2020, $131.64, 6073225, $129.65, $131.71, $128.94
08/03/2020, $129.3, 4992088, $129.91, $130.115, $128.2713
07/31/2020, $129.4, 7211535, $129.65, $130.09, $127.62
07/30/2020, $130.12, 4596121, $129.42, $130.42, $128.72
07/29/2020, $130.69, 4741109, $131.56, $131.86, $129.85
07/28/2020, $131.76, 4804721, $131.5, $132.38, $130.92
07/27/2020, $131.21, 4681850, $130.86, $131.98, $130.86
07/24/2020, $131.24, 4345783, $130.95, $132.4, $130.51
07/23/2020, $131.64, 5598752, $133, $133.15, $131.31
07/22/2020, $132.66, 5388177, $132.57, $133.03, $131.19
07/21/2020, $132.33, 7240401, $131.56, $133.99, $131.45
07/20/2020, $131.47, 6114183, $131.96, $132.74, $131.14
07/17/2020, $131.74, 6063169, $133.37, $133.37, $131.47
07/16/2020, $132.2, 5892165, $132.05, $132.73, $131.24
07/15/2020, $132, 10577120, $132.27, $134.13, $130.8
07/14/2020, $132.01, 8818555, $129.28, $132.5, $129.026
07/13/2020, $129.52, 14112780, $131.33, $133.63, $128.89
07/10/2020, $130.68, 14745630, $128.735, $131.37, $127.26
07/09/2020, $127.75, 14257240, $125.61, $128.18, $124.95
07/08/2020, $124.44, 17405710, $128, $128.13, $124.4
07/07/2020, $126.95, 31152680, $118.45, $127.55, $118.22
07/06/2020, $118.89, 7231664, $119.8, $119.87, $118.22
07/02/2020, $119.21, 5898559, $120.09, $120.88, $118.86
07/01/2020, $119.69, 6577921, $119.45, $119.92, $118.66
06/30/2020, $119.78, 6836358, $119.22, $120.13, $118.54
06/29/2020, $119.06, 5503784, $118.5, $119.68, $118.215
06/26/2020, $118.32, 8997170, $119.6, $120.84, $118.02
06/25/2020, $119.71, 6856615, $119.76, $120.16, $118.38
06/24/2020, $120.3, 6871610, $120.74, $121.1153, $119.58
06/23/2020, $121.07, 6575915, $122.75, $122.85, $120.9606
06/22/2020, $121.68, 9112847, $120.97, $122.09, $120.4
06/19/2020, $119.85, 13342920, $118.89, $120.3, $117.75
06/18/2020, $117.99, 6689974, $118.54, $119.06, $117.66
06/17/2020, $119.03, 6722337, $119.86, $120.13, $118.4
06/16/2020, $119.65, 8395210, $119.8, $120.2299, $118.54
06/15/2020, $118.08, 10901060, $118.4, $118.68, $117.01
06/12/2020, $117.74, 10786440, $120.51, $120.75, $117.06
06/11/2020, $120.09, 11387650, $120.99, $122.58, $119.48
06/10/2020, $121.16, 9380549, $121.56, $122.5, $121.1301
06/09/2020, $121.35, 6915437, $121.6, $122, $120.56
06/08/2020, $121.24, 9448064, $119.58, $121.24, $119.46
06/05/2020, $121.56, 13112390, $122.57, $122.68, $119.91
06/04/2020, $122.11, 8004963, $122.8, $123.887, $121.82
06/03/2020, $123.47, 6754333, $123.9, $123.99, $122.66
06/02/2020, $123.94, 6395935, $123.59, $124.1525, $122.81
06/01/2020, $123.96, 6855752, $123.44, $124.41, $122.36
05/29/2020, $124.06, 9772431, $124.24, $124.705, $121.93
05/28/2020, $123.69, 8145973, $123.72, $124.95, $123.16
05/27/2020, $122.48, 10357900, $123.97, $124.49, $121.03
05/26/2020, $123.86, 7910182, $124.34, $125.51, $123.63
05/22/2020, $124.33, 7453162, $125.1, $125.35, $123.77
05/21/2020, $124.99, 7482740, $124.89, $126.14, $124.25
05/20/2020, $125.45, 10748800, $126.49, $126.59, $124.63
05/19/2020, $124.95, 24915440, $131.75, $131.99, $124.81
05/18/2020, $127.66, 13035900, $127.5, $128.555, $126.1
05/15/2020, $125.94, 10590040, $123.47, $125.94, $123.09
05/14/2020, $123.42, 7411006, $124.85, $125.13, $121.3001
05/13/2020, $123.71, 9725055, $123.5, $126.24, $123.09
05/12/2020, $123.78, 6366725, $124.48, $125.66, $123.78
05/11/2020, $123.67, 8447305, $123.04, $124.31, $123.01
05/08/2020, $122.94, 6944352, $122.75, $123.01, $121.62
05/07/2020, $121.89, 9116180, $123.46, $123.98, $121.5
05/06/2020, $123.3, 5769725, $125.21, $125.49, $122.845
05/05/2020, $124.73, 6445750, $123.8, $125.26, $123.26
05/04/2020, $123.7, 5935879, $123.84, $124.4, $121.71
05/01/2020, $122.92, 10381350, $121.48, $123.69, $120.78
04/30/2020, $121.55, 13499260, $123.08, $123.4362, $121.04
04/29/2020, $123.6, 14870660, $125.57, $125.76, $122.55
04/28/2020, $128, 6910694, $128.28, $130.24, $127.7
04/27/2020, $128.3, 5974605, $130, $130.3076, $128.17
04/24/2020, $129.44, 5782761, $129.35, $129.89, $128.56
04/23/2020, $128.53, 9613297, $129.85, $131.0895, $127.73
04/22/2020, $131.59, 6485036, $130, $132.38, $128.9
04/21/2020, $129.21, 9300239, $130.07, $131.03, $128.16
04/20/2020, $129.85, 8133941, $132.39, $133.38, $129.76
04/17/2020, $132.12, 10305090, $131.48, $132.97, $129.725
04/16/2020, $132.33, 10627450, $129, $132.92, $128.25
04/15/2020, $128.76, 7478431, $129, $129.88, $127.12
04/14/2020, $129, 11366310, $127.1, $129.79, $126.0352
04/13/2020, $125.3, 8064663, $121.27, $125.67, $121.17
04/09/2020, $121.8, 10944400, $118.22, $122.87, $117.66
04/08/2020, $121.84, 9292178, $123.69, $123.81, $120.59
04/07/2020, $121.99, 13789910, $123.98, $126.49, $121.64
04/06/2020, $126.07, 15922900, $119.06, $126.39, $118.94
04/03/2020, $119.48, 9541663, $117.21, $119.91, $117.03
04/02/2020, $118.65, 9838491, $113.18, $119.11, $112.335
04/01/2020, $114.14, 9423171, $112.15, $115.53, $111.8
03/31/2020, $113.62, 8757180, $114.31, $116.19, $112.64
03/30/2020, $115.19, 9737540, $111.86, $115.8, $110.9372
03/27/2020, $109.58, 12053450, $110.11, $112.28, $108.6007
03/26/2020, $109.82, 19431320, $109.4, $110.87, $106.8466
03/25/2020, $109.4, 17762500, $112.97, $114, $108.05
03/24/2020, $115.03, 14235050, $115.87, $117.37, $111.31
03/23/2020, $114.28, 13121960, $114.17, $117.54, $112.21
03/20/2020, $113.97, 18474520, $119.5, $122.79, $111.89
03/19/2020, $119.45, 19033480, $124.46, $127, $117.63
03/18/2020, $122.58, 25785280, $115, $128.08, $114.5
03/17/2020, $119.26, 17602030, $112.77, $119.27, $110.46
03/16/2020, $106.76, 12251300, $105.2, $111.3292, $102
03/13/2020, $114.1, 14320710, $108.24, $114.59, $103.88
03/12/2020, $104.05, 18774450, $106.02, $111.49, $102.98
03/11/2020, $114.43, 10543000, $117.51, $119.03, $112.8
03/10/2020, $119.79, 12599060, $118.1, $120.68, $114.92
03/09/2020, $117.16, 19747840, $113.82, $120.63, $112.73
03/06/2020, $117.23, 9803711, $113.87, $117.91, $113.01
03/05/2020, $115.92, 8546505, $114.4, $117.25, $113.91
03/04/2020, $116.77, 8208422, $114.24, $116.84, $113.47
03/03/2020, $112.91, 11113640, $116.08, $117.53, $112.34
03/02/2020, $115.88, 17074240, $107.6, $116.3973, $107.29
02/28/2020, $107.68, 17504080, $107.69, $108.52, $104.37
02/27/2020, $110.4, 9492263, $112.56, $114.07, $110.35
02/26/2020, $113.78, 6673710, $114.7, $115.17, $113.65
02/25/2020, $114.39, 7764343, $116.35, $117.07, $114.05
02/24/2020, $116.32, 6616038, $117.46, $118.46, $115.952
02/21/2020, $118.58, 6242526, $117.44, $118.75, $117.31
02/20/2020, $117.69, 5023327, $117.21, $118.11, $116.86
02/19/2020, $117.68, 7187771, $119.5, $119.94, $117.68
02/18/2020, $119.63, 11516120, $118.47, $119.95, $117.36
02/14/2020, $117.89, 8130648, $117.67, $118.57, $117.155
02/13/2020, $117.44, 5333187, $115.85, $117.535, $115.5809
02/12/2020, $115.85, 4735551, $115.5, $116.42, $115.41
02/11/2020, $115.4, 5797201, $115.43, $115.5, $114.44
02/10/2020, $115.25, 6144868, $115.75, $116.98, $115.045
02/07/2020, $116.45, 3689972, $116.11, $116.76, $115.76
02/06/2020, $116.31, 5352922, $116.83, $117.23, $116.06
02/05/2020, $116.81, 5682886, $115.6, $116.95, $114.85
02/04/2020, $115.27, 5232222, $115.24, $116.24, $114.89
02/03/2020, $114.27, 4351862, $114.9, $115.39, $114.1
