Date, Close/Last, Volume, Open, High, Low
05/08/2020, 113.83, 1245231, 113.56, 114.06, 113.02
05/07/2020, 112.24, 1564247, 112.39, 113.2, 112.06
05/06/2020, 111.12, 1284966, 112.78, 112.97, 110.99
05/05/2020, 112.31, 1476730, 112.25, 113.415, 112.01
05/04/2020, 111.26, 1860338, 110.61, 111.38, 109.88
05/01/2020, 111.22, 1996448, 112.06, 112.16, 110.81
04/30/2020, 113.6, 1739438, 114.3, 114.47, 113.25
04/29/2020, 115.55, 1414895, 115.79, 116.275, 114.67
04/28/2020, 113.99, 1315149, 115.56, 115.7731, 113.8
04/27/2020, 114.03, 1922653, 113.06, 114.51, 112.975
04/24/2020, 112.32, 1537414, 111.69, 112.52, 110.66
04/23/2020, 110.92, 1334530, 111.83, 112.845, 110.85
04/22/2020, 111.4, 1310805, 111.09, 112.04, 110.32
04/21/2020, 109.12, 1866688, 110.25, 110.788, 108.85
04/20/2020, 112.13, 2191467, 113.08, 113.9388, 112.08
04/17/2020, 114.54, 1952476, 113.88, 114.7573, 112.7132
04/16/2020, 111.27, 2399059, 111.05, 111.6, 109.57
04/15/2020, 110.56, 1900669, 110.94, 111.265, 109.8185
04/14/2020, 113.05, 2405122, 111.92, 113.32, 111.51
04/13/2020, 109.58, 2815027, 110.74, 110.74, 108.39
04/09/2020, 111.33, 2581672, 111.23, 112.55, 110.62
04/08/2020, 109.89, 2018393, 107.86, 110.4, 106.6443
04/07/2020, 106.75, 2635641, 110.57, 110.8147, 106.64
04/06/2020, 107.17, 3638322, 104.29, 108.0231, 103.92
04/03/2020, 100.52, 2129903, 101.56, 102.28, 99.37
04/02/2020, 101.9, 2831603, 98.61, 102.07, 98.53
04/01/2020, 99.31, 2868047, 99.47, 101.0584, 98.4
03/31/2020, 103.39, 2664403, 104.87, 105.34, 103.05
03/30/2020, 105.31, 3112172, 102.82, 105.525, 102.55
03/27/2020, 101.72, 2874491, 100.8, 104.74, 100.666
03/26/2020, 104.03, 3799092, 99.3, 104.5847, 99.0045
03/25/2020, 98.64, 4726304, 97.91, 101.81, 95.54
03/24/2020, 97.24, 3489773, 94, 97.38, 93.02
03/23/2020, 89.24, 6942910, 92, 92.8, 87.7113
03/20/2020, 93.23, 3745942, 99.44, 99.63, 92.92
03/19/2020, 98.58, 4037183, 97.95, 100.83, 95.5001
03/18/2020, 98.93, 4377955, 96.87, 100.8979, 94.5
03/17/2020, 102.54, 6855044, 97.98, 103.3, 95.69
03/16/2020, 96.09, 4590551, 96.08, 102.9, 93.13
03/13/2020, 107.56, 4792206, 104.54, 107.75, 99.13
03/12/2020, 99.38, 5471399, 101.93, 106.13, 99.2
03/11/2020, 109.01, 3201239, 111.65, 112.09, 107.75
03/10/2020, 114.71, 2991709, 113.44, 114.78, 109.09
03/09/2020, 109.97, 4432739, 110, 113.4999, 109.21
03/06/2020, 117.48, 3722768, 115, 117.95, 114.53
03/05/2020, 118.46, 1733945, 119.47, 120.64, 117.51
03/04/2020, 122.24, 1885071, 119.21, 122.38, 118.355
03/03/2020, 117.21, 2457984, 120.29, 122.1499, 116.274
03/02/2020, 120.16, 3332500, 115.59, 120.24, 114.889
02/28/2020, 114.91, 5131178, 113.04, 115.065, 111.621
02/27/2020, 116.46, 3714769, 119.67, 121.13, 116.46
02/26/2020, 121.58, 2160415, 122.98, 124.205, 121.46
02/25/2020, 122.39, 3585509, 126.45, 126.56, 122.07
02/24/2020, 126.01, 2338319, 125.99, 127.23, 125.5801
02/21/2020, 129.4, 1045378, 129.66, 129.818, 129.13
02/20/2020, 130.14, 993648, 130.35, 130.72, 128.96
02/19/2020, 130.53, 819428, 130.64, 130.91, 130.49
02/18/2020, 130.3, 930990, 130.51, 130.6728, 129.999
02/14/2020, 130.69, 804183, 130.39, 130.69, 130.1
02/13/2020, 130.23, 1028368, 129.56, 130.55, 129.46
02/12/2020, 130.01, 1242145, 129.86, 130.08, 129.3868
02/11/2020, 129.31, 861267, 129.8, 129.89, 129.1501
02/10/2020, 129.31, 791479, 128.48, 129.31, 128.41
02/07/2020, 128.63, 900620, 129.12, 129.192, 128.498
02/06/2020, 129.41, 827948, 129.58, 129.68, 129.25
02/05/2020, 129.35, 2383186, 129.04, 129.42, 128.46
02/04/2020, 127.93, 1711697, 127.61, 128.3544, 127.42
02/03/2020, 126.16, 1562758, 125.9, 126.84, 125.9
