Date, Close/Last, Volume, Open, High, Low
07/16/2020, 34.79, 25541, 34.64, 34.86, 34.43
07/15/2020, 34.67, 64144, 35, 35, 34.39
07/14/2020, 34.21, 343302, 33.48, 34.35, 33.48
07/13/2020, 33.65, 19178, 33.69, 34.065, 33.55
07/10/2020, 33.4, 20077, 32.67, 33.49, 32.67
07/09/2020, 32.82, 25408, 33.51, 33.51, 32.61
07/08/2020, 33.52, 20137, 33.48, 33.7034, 33.32
07/07/2020, 33.53, 122363, 33.77, 33.792, 33.53
07/06/2020, 33.99, 18003, 33.98, 34.1637, 33.85
07/02/2020, 33.62, 15395, 33.85, 34.025, 33.5208
07/01/2020, 33.3, 21665, 33.56, 33.8015, 33.3
06/30/2020, 33.42, 135230, 33.17, 33.56, 33.12
06/29/2020, 33.1801, 8313, 33.07, 33.265, 33.06
06/26/2020, 32.78, 26896, 33.35, 33.35, 32.59
06/25/2020, 33.42, 20170, 32.91, 33.5, 32.73
06/24/2020, 33.05, 23541, 33.68, 33.68, 32.9346
06/23/2020, 34.08, 22726, 34.35, 34.35, 34.04
06/22/2020, 34.0629, 25036, 34.2, 34.2, 33.87
06/19/2020, 34.5403, 21499, 35.1, 35.1, 34.2597
06/18/2020, 34.55, 15593, 34.46, 34.6267, 34.2401
06/17/2020, 34.73, 673286, 35.05, 35.1, 34.53
06/16/2020, 34.99, 17580, 35.49, 35.49, 34.3958
06/15/2020, 34.39, 17867, 33.14, 34.45, 33
06/12/2020, 34.1, 32306, 34.39, 34.5206, 33.5
06/11/2020, 33.57, 47510, 34.9, 35.05, 33.551
06/10/2020, 36.08, 54272, 36.66, 36.66, 36
06/09/2020, 36.49, 27058, 36.5, 36.7, 36.465
06/08/2020, 37.17, 32429, 36.8, 37.17, 36.6291
06/05/2020, 36.37, 35809, 36.42, 36.8087, 36.3226
06/04/2020, 35.36, 23499, 35.24, 35.47, 35.14
06/03/2020, 35.35, 25233, 34.91, 35.37, 34.91
06/02/2020, 34.6178, 15023, 34.4, 34.619, 34.265
06/01/2020, 34.16, 15694, 34.06, 34.28, 33.9573
05/29/2020, 34.3, 24930, 34.16, 34.37, 33.68
05/28/2020, 34.22, 35369, 34.8, 34.8, 34.22
05/27/2020, 34.4, 20821, 34.45, 34.45, 33.93
05/26/2020, 33.65, 31853, 33.55, 33.865, 33.55
05/22/2020, 32.8, 159951, 32.56, 32.85, 32.56
05/21/2020, 32.9, 25559, 33.08, 33.21, 32.775
05/20/2020, 33.09, 19510, 33.06, 33.2099, 32.9011
05/19/2020, 32.56, 21154, 33.02, 33.07, 32.56
05/18/2020, 33.16, 83202, 32.93, 33.22, 32.845
05/15/2020, 31.95, 13802, 31.5, 31.96, 31.5
05/14/2020, 31.7, 11746, 30.94, 31.8632, 30.895
05/13/2020, 31.29, 16261, 32.14, 32.14, 31.18
05/12/2020, 32.23, 11195, 32.8671, 32.8671, 32.1503
05/11/2020, 32.75, 243935, 32.9, 33.1525, 32.5101
05/08/2020, 32.99, 34139, 32.55, 32.99, 32.3
05/07/2020, 32.34, 27749, 32.52, 32.56, 32.2005
05/06/2020, 32.18, 33211, 32.59, 32.605, 32.04
05/05/2020, 32.43, 17595, 32.71, 32.87, 32.43
05/04/2020, 32.3, 15217, 32.02, 32.3, 31.7456
05/01/2020, 32.2, 49475, 32.49, 32.63, 31.98
04/30/2020, 33.1752, 25960, 33.2, 33.4096, 33
04/29/2020, 33.63, 62110, 33.78, 33.8999, 33.37
04/28/2020, 33.25, 20802, 33.46, 33.49, 32.73
04/27/2020, 32.8, 21424, 32.52, 33.1, 32.49
04/24/2020, 32.3803, 23413, 31.95, 32.69, 31.855
04/23/2020, 31.83, 28809, 31.92, 32.59, 31.59
04/22/2020, 31.9598, 19459, 32.08, 32.11, 31.7445
04/21/2020, 31.73, 38876, 31.59, 31.73, 31.1299
04/20/2020, 32.19, 26434, 32.15, 32.826, 32.0261
04/17/2020, 32.97, 51330, 32.36, 32.97, 32.2712
04/16/2020, 31.9267, 100918, 32.16, 32.16, 31.7
